YEAR,DISTRICT,DISTRICT_NAME,SCHOOL_NAME,SCHOOL_ID,GRADES_SERVED,SAFE_SCHOOL,AVERAGE_DAILY_MEMBERSHIP,TOTAL,WHITE,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN,HAWAIIAN_PACISLD,MALE,FEMALE,WHITE_PCT,AFRICAN_AMERICAN_PCT,HISPANIC_PCT,ASIAN_PCT,NATIVE_AMERICAN_PCT,HAWAIIAN_PACISLD_PCT,MALE_PCT,FEMALE_PCT,WHITE_MALE,AFRICAN_AMERICAN_MALE,HISPANIC_MALE,ASIAN_MALE,NATIVE_AMERICAN_MALE,HAWAIIAN_PACISLD_MALE,WHITE_FEMALE,AFRICAN_AMERICAN_FEMALE,HISPANIC_FEMALE,ASIAN_FEMALE,NATIVE_AMERICAN_FEMALE,HAWAIIAN_PACISLD_FEMALE,LIMITED_ENGLISH_PROFICIENT_PCT,LIMITED_ENGLISH_PROFICIENT,NUMBER_EXEMPT_FROM_READING_ASSESSMENT,STUDENTS_WITH_DISABILITIES,STUDENTS_WITH_DISABILITIES_PCT,ECONOMICALLY_DISADVANTAGED,ECONOMICALLY_DISADVANTAGED_PCT
2015,500,Lawrence County,New Prospect Elementary,70,Pre-Kindergarten-8,SAFE SCHOOL,410,428,412,9,4,3,,,204,224,96.3,2.1,0.9,0.7,,,47.7,52.3,198,4,1,1,,,214,5,3,2,,,,,,46,10.7,126,29.4
2015,330,Hamilton County,Wallace A. Smith Elementary,260,Kindergarten-5,SAFE SCHOOL,634,666,508,105,35,13,3,2,352,314,76.3,15.8,5.3,2,0.5,0.3,52.9,47.1,264,56,20,9,2,1,244,49,15,4,1,1,1.4,9,,92,13.8,195,29.3
2015,950,Wilson County,All Schools,0,PK-12,SAFE SCHOOL,,17079,14474,1388,786,372,12,47,8772,8307,84.7,8.1,4.6,2.2,0.1,0.3,51.4,48.6,7425,698,441,181,5,22,7049,690,345,191,7,25,2.2,376,,2467,14.4,4980,29.2
2015,830,Sumner County,Harold B. Williams Elementary School,150,Pre-Kindergarten-5,SAFE SCHOOL,648,662,611,21,17,9,4,,337,325,92.3,3.2,2.6,1.4,0.6,,50.9,49.1,312,11,9,3,2,,299,10,8,6,2,,0.9,6,,125,18.9,193,29.2
2015,950,Wilson County,Tennessee Virtual On-Line School,87,Kindergarten-12,SAFE SCHOOL,29,31,28,2,1,,,,12,19,90.3,6.5,3.2,,,,38.7,61.3,11,1,,,,,17,1,1,,,,,,,2,6.5,9,29
2015,470,Knox County,Brickey McCloud Elementary,25,Kindergarten-5,SAFE SCHOOL,927,995,911,46,21,12,3,2,529,466,91.6,4.6,2.1,1.2,0.3,0.2,53.2,46.8,483,29,10,4,3,,428,17,11,8,,2,0.7,7,,158,15.9,288,28.9
2015,950,Wilson County,Rutland Elementary,46,PreK-3-5,SAFE SCHOOL,914,963,750,89,42,78,,4,497,466,77.9,9.2,4.4,8.1,,0.4,51.6,48.4,393,42,21,40,,1,357,47,21,38,,3,5.1,49,,151,15.7,278,28.9
2015,750,Rutherford County,Blackman Middle School,2,Grades 6-8,SAFE SCHOOL,1204,1212,887,192,69,62,1,1,658,554,73.2,15.8,5.7,5.1,0.1,0.1,54.3,45.7,477,109,38,32,1,1,410,83,31,30,,,1.8,22,,150,12.4,348,28.7
2015,190,Davidson County,Meigs Middle,330,Grades 5-8,SAFE SCHOOL,696,699,419,182,33,61,3,1,310,389,59.9,26,4.7,8.7,0.4,0.1,44.3,55.7,182,86,12,28,2,,237,96,21,33,1,1,0.1,1,,32,4.6,200,28.6
2015,500,Lawrence County,Summertown High School,95,Grades 7-12,SAFE SCHOOL,613,627,619,1,3,1,3,,331,296,98.7,0.2,0.5,0.2,0.5,,52.8,47.2,327,1,1,,2,,292,,2,1,1,,,,,91,14.5,179,28.5
2015,830,Sumner County,E B Wilson,93,Grades 9-12,SAFE SCHOOL,58,53,48,2,2,,,1,24,29,90.6,3.8,3.8,,,1.9,45.3,54.7,22,,1,,,1,26,2,1,,,,3.8,2,,1,1.9,15,28.3
2015,52,Maryville,Montgomery Ridge Intermediate School,18,Grades 4-7,SAFE SCHOOL,782,801,715,29,26,26,3,2,426,375,89.3,3.6,3.2,3.2,0.4,0.2,53.2,46.8,385,12,14,12,2,1,330,17,12,14,1,1,2.6,21,,108,13.5,226,28.2
2015,794,Bartlett,Bartlett 9th Grade Academy,170,Grade 9,SAFE SCHOOL,580,589,381,159,24,19,4,2,300,289,64.7,27,4.1,3.2,0.7,0.3,50.9,49.1,185,92,11,9,2,1,196,67,13,10,2,1,1,6,,76,12.9,165,28.1
2015,190,Davidson County,Harpeth Valley Elementary,300,Pre-Kindergarten-4,SAFE SCHOOL,744,763,592,89,18,63,1,,387,376,77.6,11.7,2.4,8.3,0.1,,50.7,49.3,296,49,12,29,1,,296,40,6,34,,,3.4,26,,73,9.6,214,28
2015,950,Wilson County,West Wilson Middle School,33,Grades 6-8,SAFE SCHOOL,1125,1153,958,103,49,39,1,3,602,551,83.1,8.9,4.2,3.4,0.1,0.3,52.2,47.8,510,49,25,18,,,448,54,24,21,1,3,3,35,,160,13.9,322,28
2015,750,Rutherford County,Stewarts Creek High School,225,Grades 9-12,SAFE SCHOOL,1682,1705,1202,299,131,68,2,3,860,845,70.5,17.5,7.7,4,0.1,0.2,50.4,49.6,617,143,61,36,1,2,585,156,70,32,1,1,1.3,22,,166,9.7,476,28
2015,275,Gibson Co Sp Dist,Medina Middle School,45,Grades 3-8,SAFE SCHOOL,1110,1127,1032,52,30,9,,4,586,541,91.6,4.6,2.7,0.8,,0.4,52,48,528,33,18,5,,2,504,19,12,4,,2,0.7,8,,122,10.8,311,27.6
2015,190,Davidson County,Metro Nashville Virtual School,3,Grades 1-12,SAFE SCHOOL,123,134,101,26,5,1,,1,49,85,75.4,19.4,3.7,0.7,,0.7,36.6,63.4,37,9,3,,,,64,17,2,1,,1,,,,17,12.7,37,27.6
